Record_ID,Speed_kmph,Direction_degree,Latitude,Longitude,GPS_Status,Tunnel_Status,Timestamp
1,47.79,88.34,26.911996,75.786998,1,Outside,15-09-2026 10:00
2,49.73,87.6,26.912013,75.787017,1,Outside,15-09-2026 10:00
3,43.44,90.19,26.91202,75.787026,1,Outside,15-09-2026 10:00
4,35.53,90.51,26.912034,75.787043,1,Outside,15-09-2026 10:00
5,39.41,87.36,26.912049,75.787058,1,Outside,15-09-2026 10:00
6,51.12,88.33,26.912062,75.787069,1,Outside,15-09-2026 10:00
7,54.14,88.06,26.912071,75.787081,1,Outside,15-09-2026 10:00
8,51.95,91.94,26.912085,75.7871,1,Outside,15-09-2026 10:00
9,45.72,90.95,26.9121,75.787111,1,Outside,15-09-2026 10:00
10,51.59,91.18,26.912109,75.787129,1,Outside,15-09-2026 10:00
11,49.09,89.54,26.912116,75.787138,1,Outside,15-09-2026 10:00
12,36.6,89.55,26.91213,75.787151,1,Outside,15-09-2026 10:00
13,47.71,89.22,26.912143,75.787167,1,Outside,15-09-2026 10:00
14,40.34,91.69,26.912159,75.787183,1,Outside,15-09-2026 10:00
15,38.42,90.4,26.91217,75.787193,1,Outside,15-09-2026 10:00
16,54.79,92.31,26.912181,75.78721,1,Outside,15-09-2026 10:00
17,51.86,88.47,26.912194,75.787222,1,Outside,15-09-2026 10:00
18,41.31,94.02,26.912202,75.787236,1,Outside,15-09-2026 10:00
19,52.53,90.81,26.912215,75.787253,1,Outside,15-09-2026 10:00
20,53.29,90,26.912228,75.787264,1,Outside,15-09-2026 10:00
21,46.23,93.99,26.912238,75.787281,1,Outside,15-09-2026 10:00
22,42.99,91.74,26.91225,75.787298,1,Outside,15-09-2026 10:00
23,36.82,92.52,26.91226,75.787305,1,Outside,15-09-2026 10:00
24,50.84,91.13,26.912275,75.787319,1,Outside,15-09-2026 10:00
25,54.92,94.08,26.912288,75.78734,1,Outside,15-09-2026 10:00
26,35.23,92.22,26.912302,75.787351,1,Outside,15-09-2026 10:00
27,40.34,91.69,26.912313,75.787361,1,Outside,15-09-2026 10:00
