Speed_kmph,Direction_degree,Latitude,Longitude,GPS_Status
37.97,104.18,26.914546,75.789971,0.0
24.46,130.49,26.917868,75.793846,0.0
43.78,140.93,26.919392,75.795628,1.0
44.95,122.53,26.916474,75.792226,0.0
24.06,122.88,26.917116,75.792966,0.0
47.82,104.1,26.914014,75.789353,1.0
46.78,150.25,26.920865,75.797344,1.0
43.55,98.22,26.912884,75.788033,1.0
39.53,121.75,26.916508,75.792261,0.0
35.53,90.51,26.912034,75.787043,1.0
54.14,88.06,26.912071,75.787081,1.0
28.46,108.91,26.914522,75.789941,0.0
48.62,144.58,26.919977,75.796312,1.0
28.24,137.44,26.918791,75.794927,0.0
52.95,144.59,26.920304,75.79669,1.0
44.77,93.23,26.912855,75.787997,1.0
49.96,144.71,26.919846,75.796152,1.0
28.24,112.99,26.915297,75.790849,0.0
43.71,123.6,26.917205,75.793072,0.0
36.45,98.02,26.912756,75.787886,1.0
35.44,146.38,26.920505,75.796929,1.0
44.16,111.84,26.914847,75.79032,0.0
44.92,141.89,26.919486,75.795738,1.0
51.02,144.59,26.920354,75.796746,1.0
43.46,94.26,26.91243,75.787504,1.0
35.01,146.26,26.920775,75.797232,1.0
33.55,129.2,26.918301,75.794346,0.0
48.08,94.16,26.9128,75.787941,1.0
37.01,123.04,26.917049,75.792898,0.0
50.34,145.36,26.920668,75.797112,1.0
36.08,123.35,26.917282,75.793161,0.0
42.68,139.84,26.919804,75.796099,1.0
41.17,133.67,26.918316,75.794365,0.0
38.6,149.97,26.920639,75.797078,1.0
28.41,125.41,26.917127,75.792978,0.0
33.55,122.15,26.916635,75.792407,0.0
31.22,115.37,26.915687,75.791299,0.0
38.56,107.35,26.914961,75.790457,0.0
35.41,101.58,26.913581,75.788845,1.0
53.04,147.37,26.920169,75.796536,1.0
43.47,97.39,26.912862,75.788004,1.0
33.19,138.51,26.919177,75.795373,0.0
29.6,125.07,26.916933,75.792752,0.0
35.01,95.05,26.912371,75.78743,1.0
26.69,111.41,26.915381,75.79095,0.0
34.26,120.96,26.917026,75.792866,0.0
36.42,114.31,26.915334,75.790889,0.0
44.17,120.5,26.916978,75.792809,0.0
29.5,132.61,26.918255,75.794294,0.0
50.25,92.58,26.91236,75.787422,1.0
37.47,107.84,26.914391,75.789786,1.0
40.25,114.97,26.915769,75.791395,0.0
35.01,110.44,26.915323,75.790879,0.0
54.21,151.77,26.920845,75.797315,1.0
38.36,98.41,26.913609,75.788878,1.0
40.43,144.41,26.920157,75.796519,1.0
30.94,115.07,26.915995,75.791663,0.0
